question,label
"Mô tả chi tiết về một chương trình đào tạo chuẩn.",Definition
"Định nghĩa về 'lớp học phần'.",Definition
"Học phần tự chọn là gì?",Definition
"Hãy làm rõ về khái niệm 'tích lũy tín chỉ'.",Definition
"Hệ thống tín chỉ được áp dụng trong trường có ý nghĩa gì?",Definition
"Mô tả về quy chế thi và kiểm tra.",Definition
"Cảnh cáo học vụ mức 1 được định nghĩa thế nào?",Definition
"Giải thích về tiêu chuẩn đầu ra ngoại ngữ.",Definition
"Thế nào là một 'học kỳ phụ'?",Definition
"Mô tả về quy trình đăng ký học lại.",Definition
"Định nghĩa chính xác của 'điểm học phần' là gì?",Definition
"Hãy giải thích về 'khối lượng học tập đã đăng ký'.",Definition
"Giảng viên cố vấn học tập có vai trò gì?",Definition
"Chương trình đào tạo tài năng có khác biệt gì so với chương trình chuẩn không?",Yes/No
"Sinh viên có được phép tự ý thay đổi lớp học phần đã đăng ký không?",Yes/No
"Có cần phải hoàn thành tất cả các học phần trong chương trình đào tạo để được tốt nghiệp không?",Yes/No
"Điểm rèn luyện có ảnh hưởng đến việc xếp loại bằng tốt nghiệp không?",Yes/No
"Nợ học phí có bị cấm thi không?",Yes/No
"Có phải sinh viên chỉ được học lại một môn tối đa 2 lần không?",Yes/No
"Có được đăng ký nhiều hơn số tín chỉ tối đa cho phép trong một học kỳ không?",Yes/No
"Sinh viên có được phép làm khóa luận tốt nghiệp bằng tiếng Anh không?",Yes/No
"Có thể nhận bằng tốt nghiệp nếu chưa hoàn thành chứng chỉ giáo dục quốc phòng không?",Yes/No
"Điểm thi kết thúc học phần chiếm bao nhiêu phần trăm điểm tổng kết môn học?",Yes/No
"Có phải mọi vi phạm trong phòng thi đều dẫn đến việc bị đình chỉ thi không?",Yes/No
"Sinh viên có được phép mang laptop vào phòng thi không?",Yes/No
"Nếu bị mất thẻ sinh viên, có được dự thi không?",Yes/No
"Có được bảo lưu kết quả các môn đã học nếu chuyển trường không?",Yes/No
"Liệt kê các nghĩa vụ của sinh viên theo quy chế.",List
"Những hành vi nào được coi là vi phạm quy chế thi?",List
"Cho tôi một danh sách các môn tiên quyết của ngành Kỹ thuật máy tính.",List
"Các trường hợp nào sinh viên được xem xét miễn giảm học phí?",List
"Kể ra các loại giấy tờ cần nộp để xin nghỉ học tạm thời.",List
"Những tiêu chí nào được dùng để xét học bổng khuyến khích học tập?",List
"Các hình thức kiểm tra, đánh giá một học phần bao gồm những gì?",List
"Hãy liệt kê các quyền lợi của sinh viên khi theo học tại trường.",List
"Những mốc thời gian quan trọng nào trong một học kỳ mà sinh viên cần chú ý?",List
"Các phòng ban chức năng mà sinh viên thường xuyên cần làm việc là những phòng nào?",List
"Kể ra các yêu cầu để được công nhận tốt nghiệp.",List
"Những môn nào không tính vào điểm trung bình tích lũy?",List
"Các hoạt động ngoại khóa nào được cộng điểm rèn luyện?",List
"Điểm trung bình chung học kỳ tối thiểu để không bị cảnh cáo là bao nhiêu?",Factoid
"Mã sinh viên được cấp khi nào?",Factoid
"Thời gian phúc khảo bài thi là bao lâu kể từ ngày công bố điểm?",Factoid
"Để đạt danh hiệu 'Sinh viên 5 tốt' cần những tiêu chí gì?",Factoid
"Liên hệ ai khi gặp sự cố về đăng ký tín chỉ online?",Factoid
"Thư viện trường mở cửa đến mấy giờ?",Factoid
"Mức học bổng loại Xuất sắc là bao nhiêu tiền?",Factoid
"Sinh viên cần đạt bao nhiêu tín chỉ để hoàn thành chương trình?",Factoid
"Hệ số của các điểm thành phần (chuyên cần, giữa kỳ, cuối kỳ) là bao nhiêu?",Factoid
"Ai là người phê duyệt đơn xin nghỉ học tạm thời của sinh viên?",Factoid
"Thời gian tối thiểu để hoàn thành một chương trình đào tạo là mấy năm?",Factoid
"Phân biệt giữa 'đình chỉ học tập' và 'buộc thôi học'.",Inference
"Nếu một sinh viên muốn học thêm một ngành phụ thì cần tuân theo quy trình nào?",Inference
"Giải thích cách tính điểm trung bình chung tích lũy qua các học kỳ.",Inference
"Làm thế nào để xây dựng một lộ trình học tập hiệu quả để tốt nghiệp sớm?",Inference
"Nếu sinh viên không đồng ý với kết quả xử lý kỷ luật, họ có thể làm gì?",Inference
"Tại sao một số học phần lại yêu cầu học phần tiên quyết?",Inference
"Phân tích các yếu tố ảnh hưởng đến việc xếp hạng tín nhiệm của sinh viên.",Inference
"Nếu một học phần có nhiều lựa chọn về giảng viên, làm thế nào để chọn được lớp phù hợp?",Inference
"Giải thích mối quan hệ giữa kết quả học tập và cơ hội nhận học bổng du học.",Inference
"Làm thế nào để cân bằng giữa việc học hai chương trình cùng lúc và các hoạt động ngoại khóa?",Inference
"Một sinh viên bị mất gốc kiến thức từ các môn cơ sở ngành nên làm gì ở các học kỳ tiếp theo?",Inference
"Phân tích quy trình xử lý khi một sinh viên bị phát hiện đạo văn trong bài tập lớn.",Inference
"Nếu muốn đề xuất mở một lớp học phần mới, sinh viên cần liên hệ ai và thực hiện thủ tục gì?",Inference
